
*********Booking Report*********

User id,Trans_id,Bus Sources,Bus Destination,Bus time, Bus fare,Bus ID,Bus Number,Date
3,1035,Powai,Panvel,12.00,450,101,MH461029,2022-07-11
1,1032,Powai,Panvel,4.00,400,101,MH461029,2022-07-11
3,1034,Panvel,Powai,5.00,350,103,MH401035,2022-07-11
2,1038,Panvel,Powai,5.00,350,103,MH401035,2022-07-11
3,1033,Panvel,Powai,5.00,350,103,MH401035,2022-07-11
1,1036,Panvel,Powai,5.00,315,103,MH401035,2022-07-11
3,1030,Panvel,Powai,5.00,315,103,MH401035,2022-07-11
1,1037,Panvel,Powai,5.00,315,103,MH401035,2022-07-11
1,1041,Panvel,Powai,9.00,300,103,MH401035,2022-07-11
2,1039,Nerul,Panvel,7.0,290,115,MH15190,2022-07-11
1,1040,Panvel,Powai,5.00,280,104,MH201037,2022-07-11
